,activity_type,date,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,activity_date,activity_time
127,running,2017-08-09 18:24:47,False,Washington Running,5.02,519,46:11,151,172,3.0,160,173,9:12,8:29,96,87,1.09,2017-08-09,18:24:47
128,running,2017-08-08 18:23:10,False,Washington Running,7.02,700,59:23,159,180,3.5,161,241,8:28,7:40,104,115,1.18,2017-08-08,18:23:10
129,running,2017-08-06 09:15:46,False,Washington Running,16.03,"1,437",2:23:41,154,182,3.2,162,245,8:58,6:47,400,408,1.11,2017-08-06,09:15:46
130,treadmill_running,2017-08-04 11:58:10,False,Treadmill Running,6.2,610,51:17,160,183,3.7,161,168,8:16,8:19,--,--,1.08,2017-08-04,11:58:10
131,running,2017-08-03 12:30:33,False,Washington Running,5.02,587,45:33,169,187,4.0,160,246,9:04,7:20,90,85,1.11,2017-08-03,12:30:33
132,running,2017-08-01 18:44:39,False,Washington Running,5.51,535,49:31,150,177,3.1,160,245,8:59,7:46,117,109,1.12,2017-08-01,18:44:39
133,running,2017-07-28 07:01:54,False,Conway Running,4.06,487,38:13,167,191,3.6,160,241,9:25,8:24,575,567,1.07,2017-07-28,07:01:54
134,running,2017-07-26 18:42:18,False,Washington Running,6.02,635,51:37,165,181,3.7,161,243,8:35,7:27,94,92,1.17,2017-07-26,18:42:18
135,running,2017-07-24 18:38:04,False,Washington Running,5.08,585,48:07,163,183,3.5,161,170,9:28,8:02,72,75,1.06,2017-07-24,18:38:04
136,running,2017-07-22 07:27:40,False,Washington Running,10.01,"1,136",1:36:17,162,185,3.8,161,248,9:37,7:13,127,121,1.04,2017-07-22,07:27:40
137,running,2017-07-17 18:29:28,False,Washington Running,6.02,653,54:11,159,183,3.4,160,245,9:00,6:53,146,137,1.11,2017-07-17,18:29:28
138,running,2017-07-15 07:34:30,False,Washington Running,14.02,"1,579",2:07:38,168,191,4.3,162,197,9:06,7:58,392,399,1.09,2017-07-15,07:34:30
139,treadmill_running,2017-07-13 18:08:11,False,Treadmill Running,4.02,423,36:48,152,173,3.1,160,166,9:09,8:21,--,--,1.1,2017-07-13,18:08:11
140,treadmill_running,2017-07-11 18:08:34,False,Treadmill Running,3.03,311,28:24,146,160,2.6,160,166,9:23,8:30,--,--,1.07,2017-07-11,18:08:34
141,running,2017-07-10 18:43:29,False,Washington Running,6.63,691,57:59,160,175,3.5,163,174,8:45,7:47,196,196,1.13,2017-07-10,18:43:29
142,running,2017-07-08 10:18:34,False,Washington Running,12.01,"1,327",1:53:19,162,201,3.5,162,245,9:26,7:36,241,248,1.05,2017-07-08,10:18:34
143,running,2017-07-06 17:26:18,False,Washington Running,4.25,449,36:46,159,179,3.2,162,170,8:39,7:05,85,93,1.15,2017-07-06,17:26:18
144,running,2017-07-05 17:40:38,False,Washington Running,5.02,535,45:31,156,178,3.1,163,174,9:04,7:47,79,82,1.09,2017-07-05,17:40:38
145,running,2017-07-03 14:32:34,False,Southwick Running,6.01,671,53:11,163,181,3.8,163,168,8:51,8:26,310,320,1.12,2017-07-03,14:32:34
146,running,2017-06-30 06:17:58,False,Quincy Running,5.02,552,44:43,160,188,3.5,164,173,8:55,8:02,33,39,1.1,2017-06-30,06:17:58
147,running,2017-06-28 12:28:03,False,Washington Running,5.52,654,50:17,164,185,3.7,163,187,9:07,7:54,146,159,1.08,2017-06-28,12:28:03
148,running,2017-06-27 18:06:09,False,Washington Running,5.02,544,45:41,154,175,3.2,163,173,9:06,7:11,81,87,1.08,2017-06-27,18:06:09
149,running,2017-06-23 10:07:26,False,San Diego Running,4.01,369,36:33,143,176,2.2,162,185,9:07,7:37,506,790,1.09,2017-06-23,10:07:26
150,running,2017-06-22 11:13:17,False,San Diego Running,7.76,775,1:11:04,153,175,3.1,164,170,9:09,7:55,97,97,1.07,2017-06-22,11:13:17
151,running,2017-06-20 17:51:19,False,Washington Running,4.01,451,35:47,163,177,3.3,164,172,8:56,8:06,234,98,1.1,2017-06-20,17:51:19
152,running,2017-06-17 08:06:58,False,Washington Running,11.01,"1,077",1:42:19,156,175,3.3,165,247,9:18,8:00,375,384,1.05,2017-06-17,08:06:58
153,running,2017-06-15 18:36:27,False,Washington Running,4.51,489,39:21,165,178,3.4,164,181,8:44,7:45,88,90,1.12,2017-06-15,18:36:27
154,running,2017-06-14 07:39:27,False,Washington Running,5.01,570,47:08,161,182,3.5,163,235,9:25,8:09,82,81,1.05,2017-06-14,07:39:27
155,running,2017-06-12 18:37:59,False,Washington Running,5.34,627,47:08,172,186,4.0,163,176,8:49,6:40,117,117,1.12,2017-06-12,18:37:59
156,running,2017-06-10 09:09:20,False,Washington Running,8.02,845,1:11:06,161,186,3.8,165,174,8:52,7:36,219,373,1.1,2017-06-10,09:09:20
157,running,2017-06-08 18:42:22,False,Washington Running,6.05,652,52:46,164,179,3.7,164,249,8:43,7:19,142,139,1.13,2017-06-08,18:42:22
158,running,2017-06-06 18:46:38,False,Washington Running,4.8,510,44:52,154,172,3.1,161,170,9:21,7:39,114,119,1.07,2017-06-06,18:46:38
159,running,2017-06-05 18:27:57,False,Washington Running,5.01,506,44:48,156,172,3.2,162,245,8:56,6:57,84,76,1.11,2017-06-05,18:27:57
160,running,2017-06-03 11:42:39,False,Washington Running,11.01,"1,198",1:43:35,164,185,4.0,163,225,9:24,7:06,368,368,1.05,2017-06-03,11:42:39
161,running,2017-06-01 18:38:06,False,Washington Running,5.74,711,53:37,172,188,4.2,163,184,9:20,8:07,169,171,1.05,2017-06-01,18:38:06
162,running,2017-05-30 17:13:29,False,Washington Running,5.02,522,47:33,150,175,3.0,161,178,9:28,7:44,86,78,1.06,2017-05-30,17:13:29
163,running,2017-05-28 10:11:09,False,Dickerson Running,6.66,939,3:21:21,109,154,1.4,109,158,30:14,16:14,"1,928","2,017",0.49,2017-05-28,10:11:09
164,running,2017-05-27 12:50:56,False,Washington Running,10.01,"1,009",1:34:44,155,186,3.2,162,243,9:28,7:19,119,119,1.05,2017-05-27,12:50:56
165,running,2017-05-25 18:28:42,False,Washington Running,4.75,504,42:38,157,174,3.2,161,173,8:59,7:51,80,80,1.12,2017-05-25,18:28:42
166,running,2017-05-23 12:05:01,False,Washington Running,4.02,415,38:00,151,177,2.9,161,170,9:26,7:33,61,80,1.06,2017-05-23,12:05:01
167,running,2017-05-20 17:46:13,False,Washington Running,7.53,768,1:11:14,154,173,3.1,163,172,9:28,7:44,174,183,1.04,2017-05-20,17:46:13
168,running,2017-05-18 06:47:11,False,Washington Running,5.01,556,44:10,166,183,3.7,163,191,8:49,7:28,126,146,0.0,2017-05-18,06:47:11
169,running,2017-05-17 06:53:57,False,Washington Running,4.01,449,37:35,158,193,3.4,162,170,9:22,8:19,62,75,0.0,2017-05-17,06:53:57
170,running,2017-05-15 17:42:20,False,Washington Running,6.07,646,56:50,157,180,3.4,162,176,9:22,7:10,292,257,0.0,2017-05-15,17:42:20
171,running,2017-05-14 10:40:33,False,Washington Running,8.01,888,1:15:08,159,186,4.0,163,193,9:23,5:34,233,242,0.0,2017-05-14,10:40:33
172,running,2017-05-12 11:59:15,False,Washington Running,5.01,521,43:55,160,188,3.5,162,184,8:46,7:35,75,84,0.0,2017-05-12,11:59:15
173,running,2017-05-09 12:04:43,False,Washington Running,4.44,468,41:14,155,180,3.3,162,170,9:17,7:25,67,83,0.0,2017-05-09,12:04:43
